Ship ID,Cust ID,Weight,Truck ID,Driver ID,City ID,Ship Date
1166,2001,8163.00,11,28,162,2016-07-14
1167,3354,85581.00,12,30,491,2016-07-14
1168,896,6390.00,1,27,631,2016-07-14
1169,1592,7650.00,2,26,473,2016-07-15
1170,3354,3240.00,3,24,409,2016-07-16
1171,1265,1188.00,4,20,183,2016-07-16
1172,1092,13446.00,5,25,116,2016-07-16
1173,2434,2196.00,6,29,666,2016-07-16
1174,3354,2016.00,7,23,394,2016-07-17
1175,2624,2925.00,8,30,324,2016-07-19
1176,2181,14049.00,9,22,561,2016-07-19
1177,314,1872.00,3,28,384,2016-07-20
1178,2181,2124.00,10,27,458,2016-07-20
1179,1724,9279.00,11,23,553,2016-07-22
1180,2215,9270.00,12,21,182,2016-07-22
1181,4421,4050.00,1,26,511,2016-07-22
1182,1592,6120.00,2,20,112,2016-07-23
1183,2429,6354.00,3,24,159,2016-07-24
1184,2625,4203.00,4,29,187,2016-07-25
1185,2434,4842.00,5,28,460,2016-07-25
1186,3375,5580.00,6,22,181,2016-07-25
1187,615,11142.00,7,27,410,2016-07-25
1188,2649,9531.00,8,25,549,2016-07-26
1189,4869,1935.00,9,30,668,2016-07-27
1190,3161,1854.00,10,21,268,2016-07-28
1191,4561,15930.00,11,23,423,2016-07-29
1192,4561,11385.00,12,20,232,2016-07-29
1193,3660,8712.00,1,24,153,2016-07-30
1194,3375,14256.00,2,27,599,2016-07-31
1195,3876,5796.00,3,25,618,2016-07-31
1196,989,3456.00,4,26,638,2016-08-01
1197,626,7767.00,5,29,520,2016-08-01
1198,1092,2970.00,6,30,461,2016-08-02
1199,3174,8919.00,7,28,499,2016-08-02
1200,3320,4410.00,8,21,696,2016-08-02
1201,1908,5193.00,9,22,137,2016-08-02
1202,3320,10269.00,10,23,686,2016-08-03
1203,738,1845.00,11,25,691,2016-08-05
1204,1592,10764.00,12,20,296,2016-08-05
1205,931,1998.00,1,22,236,2016-08-07
1206,2420,6282.00,2,30,329,2016-08-07
1207,3123,2817.00,3,21,415,2016-08-08
1208,896,4302.00,4,24,682,2016-08-09
1209,2496,12969.00,5,26,331,2016-08-10
1210,3537,4680.00,6,27,371,2016-08-10
1211,3123,6588.00,7,29,130,2016-08-11
1212,660,2457.00,8,28,140,2016-08-11
1213,2634,7722.00,9,23,453,2016-08-12
1214,931,4320.00,10,25,344,2016-08-12
1215,1775,2574.00,11,21,648,2016-08-13
1216,4513,8325.00,12,20,276,2016-08-14
1217,4308,5994.00,1,30,484,2016-08-15
1218,493,3303.00,2,29,472,2016-08-16
1219,3800,7767.00,3,26,110,2016-08-17
1220,3346,13680.00,4,24,140,2016-08-17
1221,2388,14796.00,5,22,341,2016-08-17
1222,931,3069.00,6,27,552,2016-08-18
1223,4353,504.00,7,21,577,2016-08-19
1224,4426,8928.00,8,28,685,2016-08-21
1225,600,3204.00,9,23,649,2016-08-21
1226,4112,17208.00,10,25,155,2016-08-22
1227,738,1971.00,11,22,441,2016-08-22
1228,4112,14877.00,12,24,249,2016-08-22
1229,1591,6273.00,1,20,329,2016-08-23
1230,2427,1971.00,2,30,111,2016-08-23
1231,1055,3492.00,3,21,346,2016-08-25
1232,381,4104.00,4,29,451,2016-08-25
1233,1092,14337.00,5,27,362,2016-08-25
1234,3161,17325.00,6,26,356,2016-08-26
1235,1492,2421.00,7,22,518,2016-08-27
1236,1591,10251.00,8,23,680,2016-08-27
1237,1265,8568.00,9,30,373,2016-08-29
1238,3876,8217.00,10,20,368,2016-08-30
1239,381,3501.00,11,27,423,2016-08-30
1240,1908,6291.00,12,29,222,2016-08-31
1241,3203,13023.00,1,28,316,2016-08-31
1242,3876,16506.00,2,24,686,2016-08-31
1243,1575,6795.00,3,25,232,2016-09-01
1244,2593,6966.00,4,21,621,2016-09-01
1245,2634,1926.00,5,22,482,2016-09-04
1246,1092,7263.00,6,26,424,2016-09-05
1247,1775,7209.00,7,27,182,2016-09-05
1248,493,5310.00,8,20,164,2016-09-05
1249,2001,3528.00,9,28,140,2016-09-05
1250,3354,9594.00,10,29,345,2016-09-06
1251,4368,6552.00,11,23,327,2016-09-06
1252,2617,15777.00,12,24,400,2016-09-08
1253,1092,8199.00,1,30,579,2016-09-08
1254,1290,2178.00,2,28,203,2016-09-10
1255,3622,4230.00,3,21,327,2016-09-10
1256,1381,5130.00,4,25,599,2016-09-11
1257,4368,12780.00,5,29,503,2016-09-12
1258,2649,11898.00,6,22,309,2016-09-12
1259,1591,7749.00,7,27,322,2016-09-12
1260,2181,7668.00,8,23,330,2016-09-12
1261,2625,2025.00,9,26,498,2016-09-13
1262,4469,7047.00,10,20,489,2016-09-14
1263,3288,17703.00,11,30,349,2016-09-15
1264,1769,8010.00,12,21,361,2016-09-15
1265,2546,3096.00,1,22,440,2016-09-18
1266,1591,1980.00,2,24,647,2016-09-18
1267,1391,2115.00,3,20,628,2016-09-19
1268,2906,2133.00,4,28,158,2016-09-20
1269,1769,12546.00,5,27,686,2016-09-20
1270,2593,2106.00,6,23,443,2016-09-21
1271,3073,4869.00,7,29,688,2016-09-21
1272,1685,16587.00,8,25,514,2016-09-21
1273,2388,2007.00,9,26,239,2016-09-22
1274,4767,1935.00,10,21,686,2016-09-22
1275,615,2160.00,11,24,169,2016-09-24
1276,2429,16389.00,12,30,445,2016-09-24
1277,2799,17658.00,1,22,124,2016-09-26
1278,3123,10323.00,2,29,150,2016-09-26
1279,3876,2529.00,3,23,163,2016-09-28
1280,2483,6255.00,4,27,606,2016-09-28
1281,896,6687.00,5,26,246,2016-09-29
1282,2546,16974.00,6,20,181,2016-09-29
1283,2215,3114.00,7,28,103,2016-09-30
1284,600,10836.00,8,25,597,2016-09-30
1285,1591,9450.00,9,21,166,2016-09-30
1286,4869,7371.00,10,29,104,2016-10-02
1287,738,2070.00,11,24,444,2016-10-02
1288,615,16182.00,12,22,638,2016-10-02
1289,3447,16920.00,1,30,549,2016-10-02
1290,1849,5580.00,2,20,124,2016-10-05
1291,2546,4041.00,3,23,309,2016-10-05
1292,1908,17190.00,4,26,362,2016-10-05
1293,2348,7776.00,5,29,620,2016-10-07
1294,1908,3582.00,6,28,329,2016-10-08
1295,493,2736.00,7,27,534,2016-10-08
1296,2799,12573.00,8,25,230,2016-10-09
1297,2131,8352.00,9,21,374,2016-10-09
1298,931,1269.00,10,26,373,2016-10-10
1299,3161,999.00,11,23,340,2016-10-10
1300,3360,5841.00,12,20,591,2016-10-10
1301,3722,11448.00,1,30,341,2016-10-11
1302,2181,3186.00,2,24,443,2016-10-12
1303,2420,1143.00,3,22,547,2016-10-12
1304,2546,3123.00,4,27,547,2016-10-13
1305,2420,5112.00,5,21,502,2016-10-14
1306,2906,8586.00,6,28,340,2016-10-14
1307,2265,14688.00,7,29,605,2016-10-15
1308,2906,2061.00,8,23,449,2016-10-17
1309,2298,2169.00,9,25,428,2016-10-17
1310,3023,4059.00,10,26,570,2016-10-18
1311,1592,1386.00,11,21,250,2016-10-19
1312,600,5859.00,12,22,598,2016-10-19
1313,615,5319.00,1,20,546,2016-10-19
1314,1591,4455.00,2,30,455,2016-10-20
1315,493,3294.00,3,28,503,2016-10-20
1316,2181,5733.00,4,27,355,2016-10-20
1317,1769,7371.00,5,24,657,2016-10-22
1318,1669,2214.00,6,25,404,2016-10-23
1319,2181,8343.00,7,20,179,2016-10-24
1320,2634,2493.00,8,23,537,2016-10-24
1321,2593,2196.00,9,29,147,2016-10-24
1322,4154,6021.00,10,21,551,2016-10-26
1323,3876,9000.00,11,22,296,2016-10-27
1324,1391,7011.00,12,24,450,2016-10-27
1325,1775,8280.00,1,26,138,2016-10-27
1326,2625,17253.00,2,27,199,2016-10-28
1327,4145,3591.00,3,20,568,2016-10-29
1328,3786,1818.00,4,28,686,2016-10-29
1329,896,7542.00,5,25,230,2016-10-30
1330,2181,8586.00,6,30,415,2016-10-30
1331,1908,14598.00,7,29,530,2016-10-31
1332,2131,8190.00,8,26,117,2016-11-01
1333,1908,7695.00,9,23,666,2016-11-01
1334,2181,15390.00,10,24,246,2016-11-01
1335,770,2502.00,11,30,142,2016-11-04
1336,4421,10323.00,12,20,456,2016-11-05
1337,4415,4140.00,1,21,686,2016-11-05
1338,1908,2862.00,2,22,288,2016-11-05
1339,1908,5733.00,3,27,486,2016-11-05
1340,4154,17487.00,4,24,283,2016-11-07
1341,1724,5562.00,5,28,316,2016-11-08
1342,4955,2097.00,6,25,583,2016-11-08
1343,2906,2718.00,7,23,516,2016-11-09
1344,2420,1944.00,8,27,206,2016-11-10
1345,1724,999.00,9,29,385,2016-11-10
1346,3123,10656.00,10,26,697,2016-11-11
1347,493,8721.00,11,20,686,2016-11-11
1348,2906,11394.00,12,21,639,2016-11-13
1349,2298,7677.00,1,30,237,2016-11-13
1350,193,4662.00,2,25,555,2016-11-13
1351,600,16623.00,4,22,292,2016-11-13
1352,2906,15984.00,5,23,184,2016-11-14
1353,3161,6633.00,6,24,574,2016-11-15
1354,2421,4527.00,7,28,120,2016-11-16
1355,1391,1854.00,8,20,503,2016-11-16
1356,4154,13266.00,9,26,463,2016-11-17
1357,1775,6633.00,10,27,205,2016-11-18
1358,2799,2367.00,11,29,672,2016-11-20
1359,4415,11637.00,12,25,686,2016-11-20
1360,2131,3420.00,1,22,579,2016-11-21
1361,2799,3240.00,2,23,172,2016-11-23
1362,2861,4644.00,3,21,603,2016-11-23
1363,4353,6705.00,4,30,432,2016-11-23
1364,660,5733.00,5,28,500,2016-11-24
1365,2281,2466.00,6,20,580,2016-11-24
1366,896,7443.00,7,26,689,2016-11-25
1367,2131,14733.00,8,25,508,2016-11-25
1368,3023,2142.00,9,24,364,2016-11-25
1369,493,7101.00,10,27,682,2016-11-25
1370,3622,738.00,11,29,555,2016-11-26
1371,4469,4032.00,12,28,423,2016-11-29
1372,1265,8712.00,1,30,418,2016-11-30
1373,2799,14472.00,2,25,614,2016-11-30
1374,615,5166.00,3,22,207,2016-11-30
1375,931,4608.00,4,24,504,2016-12-01
1376,2546,1386.00,5,23,597,2016-12-01
1377,4347,2430.00,6,27,517,2016-12-01
1378,600,7029.00,7,26,565,2016-12-01
1379,1724,2088.00,8,29,664,2016-12-02
1380,3622,2241.00,9,20,175,2016-12-03
1381,2546,17964.00,10,21,611,2016-12-03
1382,2649,14139.00,11,25,105,2016-12-05
1383,4347,1017.00,12,28,457,2016-12-06
1384,2001,7479.00,1,30,259,2016-12-09
1385,381,13545.00,2,20,444,2016-12-09
1386,896,6894.00,3,29,529,2016-12-09
1387,3023,17712.00,4,22,635,2016-12-10
1388,4347,6633.00,5,24,674,2016-12-10
1389,3622,1971.00,6,27,444,2016-12-10
1390,2617,2142.00,7,25,344,2016-12-10
1391,1769,2502.00,8,26,432,2016-12-11
1392,2593,7992.00,9,23,285,2016-12-11
1393,3354,11376.00,10,21,217,2016-12-13
1394,4347,765.00,11,20,435,2016-12-15
1395,304,7740.00,12,30,117,2016-12-15
1396,1592,6489.00,1,22,548,2016-12-15
1397,1591,5994.00,2,29,194,2016-12-16
1398,2131,6534.00,3,27,537,2016-12-16
1399,3430,9243.00,4,28,162,2016-12-16
1400,4347,1512.00,5,25,184,2016-12-17
1401,1391,6435.00,6,26,369,2016-12-17
1402,600,2070.00,7,24,261,2016-12-18
1403,615,12555.00,8,21,285,2016-12-19
1404,615,8577.00,9,23,453,2016-12-20
1405,931,7272.00,10,22,125,2016-12-21
1406,3622,2151.00,11,30,549,2016-12-21
1407,2799,8667.00,12,20,153,2016-12-22
1408,3876,1926.00,1,26,451,2016-12-22
1409,2181,2304.00,2,28,198,2016-12-23
1410,2625,5373.00,3,27,442,2016-12-25
1411,1592,14337.00,4,23,171,2016-12-25
1412,2906,1962.00,5,24,218,2016-12-26
1413,2483,1935.00,6,29,672,2016-12-26
1414,1769,14661.00,7,30,286,2016-12-26
1415,1685,4599.00,8,25,172,2016-12-27
1416,2001,1314.00,9,21,417,2016-12-28
1417,2906,8037.00,10,20,686,2016-12-28
1418,2298,4203.00,11,22,197,2016-12-28
1419,1769,3834.00,12,28,214,2016-12-29
1420,1769,1998.00,1,23,582,2016-12-30
1421,600,15012.00,2,24,604,2016-12-31
1422,2634,3861.00,3,26,190,2017-01-01
1423,2593,6894.00,4,27,664,2017-01-01
1424,2181,2736.00,5,22,598,2017-01-02
1425,1592,2943.00,6,29,369,2017-01-02
1426,3622,2880.00,7,20,653,2017-01-04
1427,3622,3978.00,8,21,688,2017-01-05
1428,2420,13194.00,9,30,655,2017-01-05
1429,3288,8973.00,10,25,188,2017-01-05
1430,931,2034.00,11,29,110,2017-01-07
1431,3023,8334.00,12,22,420,2017-01-07
1432,2001,4338.00,1,24,501,2017-01-08
1433,2634,9909.00,2,28,653,2017-01-08
1434,1592,8019.00,3,27,557,2017-01-09
1435,1092,2151.00,4,23,155,2017-01-09
1436,2001,7605.00,5,25,309,2017-01-10
1437,4869,6885.00,6,30,638,2017-01-11
1438,1724,4365.00,7,21,679,2017-01-11
1439,1724,6534.00,8,26,279,2017-01-11
1440,3354,7704.00,9,22,252,2017-01-12
1441,3023,3204.00,10,20,428,2017-01-13
1442,989,3591.00,11,29,425,2017-01-14
1443,1591,8127.00,12,28,312,2017-01-15
1444,1775,5967.00,1,27,550,2017-01-16
1445,3161,3987.00,2,26,159,2017-01-17
1446,989,2655.00,3,25,403,2017-01-17
1447,3161,3969.00,4,24,196,2017-01-18
1448,2634,15435.00,5,23,559,2017-01-18
1449,2593,6273.00,6,21,112,2017-01-19
1450,2298,3933.00,7,30,570,2017-01-19
1451,1592,4356.00,8,20,193,2017-01-21
1452,3876,16263.00,9,22,469,2017-01-21
1453,615,7245.00,10,28,602,2017-01-22
1454,493,6210.00,11,26,693,2017-01-23
1455,2906,2250.00,12,27,447,2017-01-23
1456,2483,4779.00,1,29,237,2017-01-24
1457,1592,2034.00,2,25,223,2017-01-24
1458,3161,2871.00,3,24,124,2017-01-25
1459,4154,17217.00,4,23,686,2017-01-26
1460,2420,1890.00,5,21,548,2017-01-28
1461,738,2727.00,6,28,397,2017-01-28
1462,738,5328.00,7,30,210,2017-01-29
1463,2546,17955.00,8,20,360,2017-01-29
1464,3622,6264.00,9,26,556,2017-01-29
1465,1775,3987.00,10,27,622,2017-01-29
1466,2420,12465.00,11,22,476,2017-01-31
1467,2634,2097.00,12,29,434,2017-01-31
1468,1592,6867.00,1,25,657,2017-02-01
1469,3354,4968.00,2,21,234,2017-02-02
1470,381,2088.00,3,24,568,2017-02-04
1471,1908,7020.00,4,27,153,2017-02-04
1472,2906,6084.00,5,23,414,2017-02-04
1473,3023,5328.00,6,28,651,2017-02-04
1474,2625,4734.00,7,30,579,2017-02-05
1475,2298,9531.00,8,20,443,2017-02-05
1476,1769,6201.00,9,26,630,2017-02-05
1477,493,6372.00,10,22,426,2017-02-08
1478,2906,4167.00,11,29,511,2017-02-08
1479,3354,1872.00,12,24,165,2017-02-09
1480,2593,7623.00,1,21,178,2017-02-09
1481,2483,2799.00,2,25,333,2017-02-09
1482,2181,7596.00,3,28,534,2017-02-10
1483,1769,10548.00,4,26,668,2017-02-10
1484,1092,11367.00,5,27,418,2017-02-11
1485,2483,11259.00,6,30,163,2017-02-12
1486,4869,10368.00,7,23,152,2017-02-14
1487,2634,10926.00,8,20,446,2017-02-14
1488,381,8325.00,9,21,351,2017-02-14
1489,1908,2106.00,10,25,254,2017-02-16
1490,1391,13185.00,11,22,550,2017-02-16
1491,3622,12807.00,12,27,667,2017-02-16
1492,1092,1719.00,1,29,671,2017-02-17
1493,989,9801.00,2,24,255,2017-02-17
1494,3622,7740.00,3,28,588,2017-02-17
1495,931,16551.00,4,30,109,2017-02-18
1496,600,2178.00,5,26,537,2017-02-20
1497,2634,5283.00,6,20,382,2017-02-20
1498,2131,6399.00,7,27,451,2017-02-21
1499,931,1989.00,8,24,376,2017-02-22
1500,381,10539.00,9,21,379,2017-02-22
1501,2001,17199.00,10,23,338,2017-02-23
1502,2131,6768.00,11,30,145,2017-02-23
1503,4347,5526.00,12,25,669,2017-02-25
1504,2298,15039.00,1,22,258,2017-02-25
1505,3622,2781.00,2,29,231,2017-02-26
1506,2420,9387.00,3,28,269,2017-02-26
1507,493,7569.00,4,27,690,2017-02-27
1508,896,5913.00,5,30,102,2017-02-28
1509,493,3141.00,6,26,379,2017-02-28
1510,1724,1845.00,7,20,333,2017-03-01
1511,4154,7020.00,8,24,476,2017-03-02
1512,1775,5877.00,9,21,286,2017-03-02
1513,2634,7146.00,10,23,164,2017-03-02
1514,2131,17568.00,11,27,117,2017-03-04
1515,3876,7488.00,12,25,361,2017-03-04
1516,3161,6840.00,1,28,672,2017-03-04
1517,3354,5787.00,2,29,298,2017-03-04
1518,2634,1044.00,3,22,286,2017-03-05
1519,2131,5040.00,4,26,172,2017-03-06
1520,381,15984.00,5,27,556,2017-03-09
1521,2001,5688.00,6,20,231,2017-03-10
1522,2001,3978.00,7,30,560,2017-03-10
1523,4154,3006.00,8,25,195,2017-03-11
1524,600,4950.00,9,24,102,2017-03-11
1525,3023,2151.00,10,23,130,2017-03-11
1526,493,15039.00,11,22,359,2017-03-12
1527,1591,7128.00,12,21,427,2017-03-12
1528,2131,5166.00,1,28,456,2017-03-13
1529,2420,4518.00,2,29,162,2017-03-14
1530,1591,4698.00,3,26,242,2017-03-16
1531,1092,8145.00,4,25,673,2017-03-18
1532,381,6993.00,5,30,383,2017-03-18
1533,600,3240.00,6,27,453,2017-03-18
1534,3354,14283.00,7,24,119,2017-03-19
1535,1908,7641.00,8,22,617,2017-03-19
1536,2483,2196.00,9,20,279,2017-03-19
1537,2001,2340.00,10,21,138,2017-03-20
1538,4869,6381.00,11,26,373,2017-03-21
1539,2131,6309.00,12,23,502,2017-03-21
1540,1092,9630.00,1,29,325,2017-03-22
1541,1592,6039.00,2,28,637,2017-03-23
1542,1724,8829.00,3,20,485,2017-03-24
1543,3876,2943.00,4,25,383,2017-03-24
1544,600,1953.00,5,24,102,2017-03-24
1545,381,6129.00,6,22,164,2017-03-25
1546,4347,10692.00,7,26,548,2017-03-27
1547,2634,10476.00,8,27,680,2017-03-27
1548,2799,2250.00,9,30,367,2017-03-27
1549,1391,9360.00,10,21,140,2017-03-27
1550,3622,1800.00,11,28,283,2017-03-31
1551,2001,6219.00,12,23,615,2017-03-31
1552,1769,7677.00,1,29,143,2017-04-01
1553,1592,5157.00,2,25,421,2017-04-01
1554,381,5112.00,3,20,465,2017-04-02
1555,3876,13734.00,4,24,372,2017-04-02
1556,2593,4644.00,5,22,617,2017-04-03
1557,2131,4572.00,6,27,553,2017-04-04
1558,4154,5922.00,7,30,214,2017-04-04
1559,2799,1224.00,8,28,461,2017-04-05
1560,1591,12600.00,9,21,377,2017-04-06
1561,1092,2907.00,10,23,413,2017-04-06
1562,2593,3015.00,11,26,234,2017-04-06
1563,1592,7596.00,12,29,409,2017-04-08
1564,1092,2826.00,1,24,230,2017-04-08
1565,896,6102.00,2,25,468,2017-04-08
1566,2131,5526.00,3,22,413,2017-04-09
1567,615,1962.00,4,28,118,2017-04-10
1568,3354,7893.00,5,20,625,2017-04-10
1569,1775,1917.00,6,21,282,2017-04-11
1570,2001,7209.00,7,26,184,2017-04-13
1571,3622,1431.00,8,27,399,2017-04-13
1572,3876,3897.00,9,30,132,2017-04-14
1573,493,11673.00,10,22,649,2017-04-15
1574,2906,7533.00,11,29,473,2017-04-15
1575,4347,13266.00,12,20,191,2017-04-16
1576,1592,13806.00,1,23,267,2017-04-16
1577,4869,6831.00,2,25,197,2017-04-16
1578,1908,8442.00,3,24,513,2017-04-17
1579,2131,5202.00,4,26,239,2017-04-18
1580,2799,2718.00,5,28,399,2017-04-18
1581,1908,8343.00,6,21,406,2017-04-20
1582,3354,12699.00,7,27,202,2017-04-20
1583,615,4986.00,8,20,295,2017-04-21
1584,1769,3717.00,9,30,527,2017-04-21
