Cust ID,Cust Name,Annual Revenue,Cust Type,Address,Zip,Phone,City ID
721,Southern Pride RV Specialist,46797354,manufacturer,4526 Lenox Avenue,32205,(904) 388-4055,495
618,Great Dane Trailers Inc,18681984,wholesaler,5231 West Beaver Street,32254,(904) 786-3300,495
615,All Professional Trailers,1350144,wholesaler,10839 North Main Street,32218,(904) 757-7171,495
1592,R V City,47438611,wholesaler,3418 Highway 65 South,71601,(870) 536-2353,502
626,Lee's Hitch & Welding,1757510,manufacturer,707 North USHighway 287,80524,(970) 224-9618,509
3660,American Automotive Market,33071440,wholesaler,344 Winthrop Street,2780,(508) 823-0746,510
4561,Squikee Clean Inc,30150941,retailer,452 Bremen St,2128,(617) 567-7603,515
4368,Ballew's Hitch Truck & RV,40780745,retailer,2940 South M Street,98409,(253) 770-2412,523
1492,Alert Muffler & Brake Service,25288357,manufacturer,1505 South Solano Drive,88001,(505) 522-5150,530
2906,Shealy Mack Leasing,23512327,retailer,802 Rosewood Drive,29201,(803) 771-0176,532
2617,Whitakers,10686043,retailer,1960 East Fremont Street,95205,(209) 464-3278,537
1055,"U-Haul CO - Moving Centers, Minneapolis",6008248,retailer,3545 Nicollet Avenue,55408,(612) 822-2141,540
193,Advanced Fabricators,39588651,manufacturer,5141 Summit Boulevard,33415,(561) 683-3535,542
3123,Digatron,28347456,manufacturer,8102 North Freya Street Suite 1,99217,(509) 467-3128,557
1669,Manning Equipment Inc,46790281,wholesaler,12000 Westport Road,40245,(502) 426-5210,572
3161,Tmp Truck & Trailer Lp,16435850,manufacturer,2700 South Rankin Highway 349,79706,(432) 620-9777,580
2861,Range R V Center,20163240,manufacturer,11626 Mariposa Road,92345,(760) 949-4090,582
493,Harry's Hot Rod Auto & Truck Accessories,11732302,retailer,105 NW 13th St,75050,(972) 263-8080,589
738,U-haul Co.,8084350,retailer,21576 Waalew Rd,92307,(760) 240-1525,593
3722,AMA Truck Toppers Inc,20529688,retailer,14th & Cornhusker,68502,(402) 475-8068,595
3430,Dahlberg Motors Inc,27512249,retailer,3255 South 10th Street,68502,(402) 423-8220,595
1849,Star Equipment Limited,44484987,manufacturer,1401 2nd Avenue,50314,(515) 283-2215,599
954,Capital Campers Inc,48352218,manufacturer,16545 Florida Boulevard,70819,(225) 272-6997,601
2434,Olympic Camper Sales Inc,47601002,retailer,5279 Ridge Road,44129,(216) 749-3384,602
2429,A-Better Truck Cap & Hitch,20343876,manufacturer,5340 Pearl Road,44129,(440) 885-7100,602
2427,Ziebart,44006667,manufacturer,6754 Pearl Road,44130,(440) 845-6031,602
2001,So Cal Trailer Repair Inc,45173186,wholesaler,9263 Orco Parkway Suite E,92509,(951) 361-4968,604
1908,Scherer Truck Equipment Inc,34084377,manufacturer,6105 Northwest River Park Drive,64150,(816) 587-0190,604
2624,Ayres Inc,10379666,manufacturer,1255 Interstate 10 South,77701,(409) 833-3381,617
2799,Hawkins Trailer & Equipment CO,46957859,wholesaler,108 South Polk Street,79101,(806) 372-3949,620
2306,Alamo Welding & Steel Company,27645822,manufacturer,1318 Karnes Avenue,37917,(865) 689-8096,621
2298,Fellhoelter Enterprises,41220184,retailer,7828 Rutledge Pike,37924,(865) 673-8000,621
2131,Knox Trailers Inc,1366274,manufacturer,2600 Middlebrook Pike,37921,(865) 523-1115,621
3354,Sunbelt Transport Refrigeration,18839770,retailer,880 West Landstreet Road,32824,(407) 812-4844,622
896,"U-Haul CO - Moving Center, Clarksville",12921540,retailer,712 Providence Boulevard,37042,(931) 647-8028,625
2281,Parkway Distributors,9504802,retailer,2023 Exchange Drive,76011,(817) 860-1677,627
1685,Mccolloch's RV Repair,5225478,wholesaler,2420 Harvard Street,95815,(916) 929-3510,630
1575,Adventure America RV,43910648,wholesaler,1064 El Camino Avenue,95815,(916) 567-1009,630
4869,Al's RV Service & Supply,17244851,wholesaler,11274 South Fortuna Road Suite U,85367,(928) 342-5816,638
304,Pard's Trailer Sales,17158109,wholesaler,5910 South 300 West,84107,(801) 262-4864,640
4308,"U-Haul CO - Moving Centers, Athens",42112714,retailer,2900 Atlanta Highway,30606,(706) 548-8080,648
989,Hesse Corporation,15974428,manufacturer,6700 Saint John Avenue,64123,(816) 483-7808,650
660,Eppies Discount Tire & Auto Centers,39677758,manufacturer,9409 Bustleton Avenue,19115,(215) 464-8200,655
600,S K L Enterprises Inc,33611123,retailer,2701 East Luzerne Street,19137,(215) 743-1000,655
3876,U-haul Center Of Sw Detroit,39248071,retailer,3175 S Fort St,48217,(313) 382-2242,659
4112,East Manufacturing Corporation,979237,wholesaler,3333 East Florida Avenue,80210,(303) 287-0736,663
1775,Marlin Ingram RV Center,20708420,wholesaler,4504 Troy Highway,36116,(334) 288-0331,665
1381,Bazzell's Truck & Camper,1484267,manufacturer,507 North Eastern Boulevard,36117,(334) 260-5554,665
4767,Line X Spray-On Truck Bedliner & Truck Accessories,2081175,manufacturer,4308 South Mingo Road,74146,(918) 641-5599,671
3346,Lyn Trucking,30966738,retailer,3816 S Winchester Avenue,60609,(773) 254-6778,677
3174,City Wash Corp,31764076,retailer,11435 South Wentworth Avenue,60628,(773) 821-7430,677
3622,"Ace Trailer & Equipment Co., Inc.",42930746,retailer,1685 Florida Street,38109,(901) 947-4191,682
2388,RV Specialists Inc,39448581,retailer,7052 Carroll Road,92121,(858) 455-0951,688
2215,Commercial Van Interiors,31174535,retailer,7817 Wilkerson Court,92111,(858) 278-7477,688
4353,Texas Wrecker Sales Inc.,1072169,wholesaler,10611 New Church Rd,75238,(214) 340-1200,690
1265,Rush Peterbilt Truck Center-San Antonio,7896875,retailer,8810 Ih 10 East,78219,(210) 661-4511,693
3537,Interstate Transmission Factory,10742746,manufacturer,1738 East Thomas Road,85016,(602) 277-5523,696
3288,Astro City Trailors,10673376,wholesaler,4530 North Shepherd Drive,77018,(713) 695-1677,697
