Tr ID,Tr Date,Cust ID,Instore Flg,Product ID,Quantity
3003,2019-04-23,400,Y,34,2
3036,2019-04-23,738,N,47,1
3047,2019-04-23,166,Y,54,1
3063,2019-04-23,438,N,43,2
3094,2019-04-23,503,Y,41,1
3094,2019-04-23,503,Y,79,1
3122,2019-04-23,342,N,33,2
3137,2019-04-23,538,N,35,1
3139,2019-04-23,82,N,60,2
3178,2019-04-23,313,N,53,2
3178,2019-04-23,313,N,73,1
3196,2019-04-23,742,N,33,1
3234,2019-04-23,785,Y,39,1
3284,2019-04-23,65,Y,36,2
3308,2019-04-23,794,N,51,2
3333,2019-04-23,527,Y,38,2
3344,2019-04-23,574,N,38,2
3367,2019-04-23,246,N,25,2
3371,2019-04-23,446,N,40,2
3371,2019-04-23,446,N,76,1
3373,2019-04-23,411,Y,41,2
3381,2019-04-23,217,Y,43,2
3447,2019-04-23,105,N,40,2
3482,2019-04-23,253,N,31,1
3482,2019-04-23,253,N,73,1
3498,2019-04-23,127,Y,38,1
3537,2019-04-23,664,Y,33,2
3540,2019-04-23,743,Y,22,1
3541,2019-04-23,714,N,49,1
3555,2019-04-23,55,Y,56,2
3604,2019-04-23,343,Y,27,2
3610,2019-04-23,78,N,49,2
3626,2019-04-23,85,N,60,2
3626,2019-04-23,85,N,72,1
3680,2019-04-23,206,N,28,1
3687,2019-04-23,724,Y,59,1
3687,2019-04-23,724,Y,71,1
3705,2019-04-23,101,Y,31,2
3744,2019-04-23,151,Y,58,1
3887,2019-04-23,247,Y,43,1
3936,2019-04-23,189,Y,46,1
3943,2019-04-23,796,Y,59,2
3957,2019-04-23,602,N,48,1
3978,2019-04-23,505,N,46,2
3980,2019-04-23,374,Y,25,2
3985,2019-04-23,201,Y,34,2
3989,2019-04-23,738,Y,33,2
3989,2019-04-23,738,Y,73,1
3995,2019-04-23,238,N,58,1
4017,2019-04-23,25,Y,56,2
4019,2019-04-23,379,N,53,1
4037,2019-04-23,81,Y,58,2
4037,2019-04-23,81,Y,73,1
4052,2019-04-23,384,N,40,1
4100,2019-04-23,245,Y,54,1
4124,2019-04-23,434,Y,29,1
4124,2019-04-23,434,Y,71,1
4160,2019-04-23,611,N,57,1
4200,2019-04-23,773,N,61,1
2908,2019-04-24,406,N,34,2
2920,2019-04-24,327,Y,25,1
3006,2019-04-24,263,Y,35,1
3017,2019-04-24,589,Y,24,1
3072,2019-04-24,105,Y,28,1
3098,2019-04-24,491,Y,22,2
3105,2019-04-24,203,Y,41,2
3109,2019-04-24,517,Y,39,2
3146,2019-04-24,3,N,56,1
3150,2019-04-24,124,N,61,2
3159,2019-04-24,33,Y,58,2
3199,2019-04-24,683,Y,56,1
3199,2019-04-24,683,Y,79,1
3206,2019-04-24,250,Y,32,2
3275,2019-04-24,237,N,51,1
3320,2019-04-24,186,N,43,1
3343,2019-04-24,762,N,55,2
3352,2019-04-24,709,Y,48,1
3365,2019-04-24,572,N,60,1
3384,2019-04-24,320,Y,27,1
3388,2019-04-24,397,Y,28,2
3394,2019-04-24,674,N,34,1
3412,2019-04-24,587,N,33,2
3522,2019-04-24,521,N,35,1
3522,2019-04-24,521,N,72,1
3527,2019-04-24,417,Y,43,1
3595,2019-04-24,76,N,38,1
3602,2019-04-24,679,Y,27,2
3607,2019-04-24,406,Y,26,1
3656,2019-04-24,513,Y,49,2
3659,2019-04-24,12,N,23,2
3659,2019-04-24,12,N,73,1
3696,2019-04-24,533,N,37,2
3755,2019-04-24,510,N,24,1
3773,2019-04-24,22,Y,34,1
3773,2019-04-24,22,Y,72,1
3797,2019-04-24,522,N,38,1
3866,2019-04-24,512,Y,24,2
3890,2019-04-24,206,Y,61,1
3913,2019-04-24,768,Y,29,2
3916,2019-04-24,342,Y,53,1
3932,2019-04-24,398,Y,41,1
3949,2019-04-24,608,N,47,2
3977,2019-04-24,534,N,58,1
3998,2019-04-24,388,Y,52,1
4014,2019-04-24,386,Y,33,1
4014,2019-04-24,386,Y,74,1
4040,2019-04-24,667,Y,35,2
4047,2019-04-24,38,N,60,2
4054,2019-04-24,416,Y,43,1
4061,2019-04-24,635,N,37,1
4097,2019-04-24,35,N,55,1
4122,2019-04-24,416,N,59,2
4151,2019-04-24,146,Y,34,1
4159,2019-04-24,355,N,42,1
2885,2019-04-25,162,Y,26,2
2995,2019-04-25,75,N,31,2
3010,2019-04-25,211,N,38,1
3059,2019-04-25,774,N,48,1
3076,2019-04-25,741,Y,24,1
3085,2019-04-25,644,Y,54,2
3136,2019-04-25,545,N,28,2
3148,2019-04-25,558,Y,58,1
3155,2019-04-25,456,Y,40,1
3172,2019-04-25,769,N,38,1
3208,2019-04-25,358,N,28,2
3208,2019-04-25,358,N,70,1
3220,2019-04-25,385,Y,50,1
3285,2019-04-25,577,Y,55,2
3303,2019-04-25,48,N,27,2
3398,2019-04-25,711,N,30,2
3402,2019-04-25,753,Y,31,1
3468,2019-04-25,177,Y,46,2
3489,2019-04-25,730,N,60,2
3489,2019-04-25,730,N,73,1
3491,2019-04-25,607,Y,38,2
3493,2019-04-25,537,Y,45,2
3543,2019-04-25,251,Y,26,1
3572,2019-04-25,710,Y,60,1
3580,2019-04-25,493,N,58,1
3613,2019-04-25,450,N,55,2
3631,2019-04-25,324,N,52,2
3685,2019-04-25,37,Y,24,2
3707,2019-04-25,353,Y,31,2
3718,2019-04-25,278,N,46,1
3732,2019-04-25,582,Y,45,1
3738,2019-04-25,311,Y,58,1
3758,2019-04-25,770,N,49,1
3766,2019-04-25,461,N,32,2
3799,2019-04-25,155,Y,54,2
3799,2019-04-25,155,Y,72,1
3926,2019-04-25,753,Y,38,1
3970,2019-04-25,634,Y,22,1
3984,2019-04-25,296,Y,53,1
3996,2019-04-25,288,N,40,2
4002,2019-04-25,176,N,60,2
4036,2019-04-25,235,Y,31,1
4074,2019-04-25,36,N,47,1
4076,2019-04-25,461,N,22,1
4078,2019-04-25,300,Y,43,2
4084,2019-04-25,745,Y,33,2
4099,2019-04-25,302,N,54,1
4101,2019-04-25,364,N,25,1
4111,2019-04-25,493,N,48,2
4133,2019-04-25,567,N,35,2
4135,2019-04-25,547,N,31,2
4135,2019-04-25,547,N,70,1
4136,2019-04-25,699,Y,27,2
4136,2019-04-25,699,Y,76,1
4184,2019-04-25,157,Y,58,1
4203,2019-04-25,720,Y,47,1
2861,2019-04-26,9,N,33,1
2882,2019-04-26,594,Y,43,2
2933,2019-04-26,309,N,27,2
2970,2019-04-26,274,N,61,2
3012,2019-04-26,213,Y,27,1
3012,2019-04-26,213,Y,78,1
3019,2019-04-26,1,Y,23,1
3020,2019-04-26,645,Y,27,2
3020,2019-04-26,645,Y,76,1
3031,2019-04-26,155,Y,38,2
3035,2019-04-26,59,Y,36,1
3088,2019-04-26,328,Y,32,1
3096,2019-04-26,682,Y,48,1
3112,2019-04-26,797,Y,42,2
3112,2019-04-26,797,Y,74,1
3117,2019-04-26,23,Y,44,2
3120,2019-04-26,575,Y,33,2
3133,2019-04-26,32,Y,32,1
3165,2019-04-26,589,N,52,1
3176,2019-04-26,410,N,51,1
3176,2019-04-26,410,N,74,1
3200,2019-04-26,314,N,24,1
3288,2019-04-26,653,N,33,2
3304,2019-04-26,421,N,22,1
3304,2019-04-26,421,N,76,1
3341,2019-04-26,485,N,23,2
3356,2019-04-26,776,Y,51,2
3401,2019-04-26,401,N,35,1
3416,2019-04-26,8,Y,39,1
3416,2019-04-26,8,Y,76,1
3421,2019-04-26,77,N,28,2
3430,2019-04-26,237,N,53,2
3430,2019-04-26,237,N,73,1
3435,2019-04-26,527,N,22,1
3497,2019-04-26,254,Y,26,1
3533,2019-04-26,759,N,46,1
3565,2019-04-26,694,Y,56,2
3569,2019-04-26,110,Y,50,2
3590,2019-04-26,115,Y,40,2
3590,2019-04-26,115,Y,77,1
3658,2019-04-26,433,N,46,2
3727,2019-04-26,310,Y,26,2
3737,2019-04-26,787,Y,28,1
3787,2019-04-26,735,N,28,2
3812,2019-04-26,769,N,28,1
3817,2019-04-26,49,N,24,1
3825,2019-04-26,549,N,50,1
3850,2019-04-26,129,Y,52,1
3856,2019-04-26,172,Y,55,1
3885,2019-04-26,149,Y,28,2
3892,2019-04-26,629,Y,23,1
3892,2019-04-26,629,Y,70,1
3911,2019-04-26,773,Y,32,2
3911,2019-04-26,773,Y,74,1
3920,2019-04-26,655,N,57,2
3967,2019-04-26,236,N,23,2
3997,2019-04-26,211,Y,56,2
3997,2019-04-26,211,Y,77,1
4012,2019-04-26,281,Y,51,1
4023,2019-04-26,107,Y,42,1
4069,2019-04-26,654,Y,25,1
4088,2019-04-26,748,N,49,2
4091,2019-04-26,663,Y,35,2
4112,2019-04-26,346,Y,35,2
4188,2019-04-26,724,Y,41,2
2880,2019-04-27,586,N,22,2
2880,2019-04-27,586,N,78,1
2931,2019-04-27,138,N,27,2
3015,2019-04-27,420,Y,58,2
3045,2019-04-27,596,N,26,1
3045,2019-04-27,596,N,69,1
3051,2019-04-27,37,N,40,1
3097,2019-04-27,733,N,31,2
3116,2019-04-27,428,N,54,2
3134,2019-04-27,60,Y,52,2
3134,2019-04-27,60,Y,74,1
3168,2019-04-27,611,N,53,2
3173,2019-04-27,579,Y,46,1
3187,2019-04-27,272,Y,36,1
3187,2019-04-27,272,Y,75,1
3195,2019-04-27,14,Y,48,1
3210,2019-04-27,52,N,41,1
3243,2019-04-27,169,N,24,1
3247,2019-04-27,431,Y,34,1
3272,2019-04-27,264,N,25,2
3328,2019-04-27,143,Y,53,1
3342,2019-04-27,484,N,22,2
3372,2019-04-27,547,Y,56,2
3372,2019-04-27,547,Y,77,1
3404,2019-04-27,430,Y,31,2
3404,2019-04-27,430,Y,78,1
3438,2019-04-27,269,Y,32,1
3455,2019-04-27,28,N,28,2
3455,2019-04-27,28,N,77,1
3475,2019-04-27,225,Y,25,1
3486,2019-04-27,99,N,55,2
3495,2019-04-27,626,N,49,1
3568,2019-04-27,403,N,34,2
3577,2019-04-27,145,Y,50,1
3577,2019-04-27,145,Y,79,1
3587,2019-04-27,442,N,49,2
3601,2019-04-27,80,N,54,1
3636,2019-04-27,686,Y,50,2
3753,2019-04-27,383,N,42,1
3802,2019-04-27,200,N,58,1
3807,2019-04-27,640,Y,48,1
3807,2019-04-27,640,Y,73,1
3848,2019-04-27,428,Y,59,2
3859,2019-04-27,262,Y,43,2
3871,2019-04-27,668,N,33,1
3871,2019-04-27,668,N,75,1
3904,2019-04-27,40,N,35,2
3918,2019-04-27,461,N,24,1
3952,2019-04-27,333,Y,47,1
3971,2019-04-27,761,Y,31,2
3987,2019-04-27,674,Y,23,2
4015,2019-04-27,45,Y,33,2
4022,2019-04-27,656,N,53,2
4038,2019-04-27,206,N,25,2
4073,2019-04-27,75,N,41,2
4073,2019-04-27,75,N,73,1
4087,2019-04-27,317,Y,48,1
4143,2019-04-27,238,N,23,2
4155,2019-04-27,698,N,36,1
2893,2019-04-28,140,N,34,1
2912,2019-04-28,662,N,35,1
2912,2019-04-28,662,N,77,1
2955,2019-04-28,161,N,31,2
2973,2019-04-28,336,N,27,1
2984,2019-04-28,449,Y,40,2
2984,2019-04-28,449,Y,75,1
3048,2019-04-28,167,N,25,2
3099,2019-04-28,632,Y,50,2
3110,2019-04-28,54,N,39,1
3130,2019-04-28,556,Y,52,1
3132,2019-04-28,414,Y,44,2
3213,2019-04-28,572,N,26,1
3214,2019-04-28,211,Y,37,2
3248,2019-04-28,248,Y,48,2
3265,2019-04-28,702,N,47,1
3317,2019-04-28,771,Y,44,2
3360,2019-04-28,653,N,48,1
3361,2019-04-28,94,N,61,1
3361,2019-04-28,94,N,70,1
3426,2019-04-28,145,N,37,2
3504,2019-04-28,425,N,36,2
3507,2019-04-28,177,N,33,1
3534,2019-04-28,564,N,36,1
3539,2019-04-28,573,N,39,2
3539,2019-04-28,573,N,75,1
3563,2019-04-28,245,Y,50,1
3640,2019-04-28,97,N,60,2
3640,2019-04-28,97,N,77,1
3670,2019-04-28,167,Y,49,1
3670,2019-04-28,167,Y,77,1
3673,2019-04-28,514,N,52,1
3673,2019-04-28,514,N,70,1
3733,2019-04-28,447,Y,25,1
3746,2019-04-28,472,N,51,2
3761,2019-04-28,733,Y,22,1
3784,2019-04-28,75,Y,42,2
3801,2019-04-28,237,Y,48,1
3858,2019-04-28,525,Y,41,1
3872,2019-04-28,658,N,42,1
3881,2019-04-28,691,Y,34,1
3906,2019-04-28,10,N,56,1
3922,2019-04-28,647,Y,24,2
4043,2019-04-28,432,Y,39,2
4050,2019-04-28,311,N,38,1
4075,2019-04-28,309,Y,61,2
4093,2019-04-28,269,N,22,2
4109,2019-04-28,116,N,50,2
4110,2019-04-28,731,Y,35,1
2924,2019-04-29,539,Y,30,1
2954,2019-04-29,520,Y,60,1
2968,2019-04-29,274,N,43,2
2968,2019-04-29,274,N,70,1
3018,2019-04-29,671,N,61,2
3030,2019-04-29,229,Y,42,1
3049,2019-04-29,175,Y,56,2
3091,2019-04-29,800,Y,48,2
3100,2019-04-29,10,Y,23,1
3100,2019-04-29,10,Y,74,1
3102,2019-04-29,744,Y,55,2
3111,2019-04-29,722,Y,58,1
3123,2019-04-29,447,N,44,2
3123,2019-04-29,447,N,73,1
3149,2019-04-29,352,N,48,2
3212,2019-04-29,63,N,24,2
3224,2019-04-29,139,Y,43,1
3257,2019-04-29,702,N,45,1
3263,2019-04-29,476,N,51,1
3300,2019-04-29,655,N,29,1
3323,2019-04-29,601,N,54,1
3330,2019-04-29,729,Y,59,2
3338,2019-04-29,396,N,61,2
3380,2019-04-29,566,N,33,2
3392,2019-04-29,659,N,49,1
3440,2019-04-29,338,N,35,2
3467,2019-04-29,220,N,49,1
3490,2019-04-29,441,Y,26,2
3508,2019-04-29,591,Y,49,1
3524,2019-04-29,513,N,46,1
3524,2019-04-29,513,N,70,1
3532,2019-04-29,627,N,38,2
3532,2019-04-29,627,N,77,1
3614,2019-04-29,31,N,51,1
3684,2019-04-29,156,N,22,1
3690,2019-04-29,138,N,57,1
3695,2019-04-29,136,Y,53,1
3763,2019-04-29,347,N,25,1
3800,2019-04-29,56,Y,31,1
3876,2019-04-29,680,N,23,2
3876,2019-04-29,680,N,73,1
3902,2019-04-29,574,N,35,1
3921,2019-04-29,725,Y,38,2
3947,2019-04-29,341,N,52,1
3950,2019-04-29,43,N,44,1
3968,2019-04-29,158,Y,52,1
3982,2019-04-29,439,Y,51,2
4005,2019-04-29,414,Y,57,1
4113,2019-04-29,556,Y,45,2
4128,2019-04-29,251,Y,38,2
4191,2019-04-29,772,Y,36,2
2860,2019-04-22,,N,22,2
2879,2019-04-22,,N,43,1
2910,2019-04-22,,N,56,1
2911,2019-04-22,,Y,41,2
2911,2019-04-22,,Y,73,1
2938,2019-04-22,,N,31,2
2938,2019-04-22,,N,79,1
2942,2019-04-22,,Y,44,2
2951,2019-04-22,,Y,40,2
2958,2019-04-22,,Y,50,1
2958,2019-04-22,,Y,69,1
2962,2019-04-22,,Y,44,2
2962,2019-04-22,,Y,74,1
2964,2019-04-22,,Y,41,1
2974,2019-04-22,,Y,57,2
2985,2019-04-22,,Y,58,2
2985,2019-04-22,,Y,70,1
3001,2019-04-22,,Y,41,2
3028,2019-04-22,,N,45,1
3038,2019-04-22,,N,42,1
3069,2019-04-22,,Y,56,1
3073,2019-04-22,,Y,25,1
3082,2019-04-22,,Y,33,1
3095,2019-04-22,,N,38,1
3147,2019-04-22,,Y,45,1
3188,2019-04-22,,Y,52,1
3189,2019-04-22,,Y,24,1
3194,2019-04-22,,Y,50,1
3218,2019-04-22,,Y,27,2
3228,2019-04-22,,Y,56,2
3231,2019-04-22,,N,23,2
3231,2019-04-22,,N,74,1
3235,2019-04-22,,Y,34,2
3240,2019-04-22,,Y,49,2
3240,2019-04-22,,Y,72,1
3245,2019-04-22,,Y,23,1
3273,2019-04-22,,Y,38,1
3273,2019-04-22,,Y,72,1
3276,2019-04-22,,N,56,2
3292,2019-04-22,,Y,30,2
3319,2019-04-22,,N,52,2
3327,2019-04-22,,Y,57,1
3332,2019-04-22,,Y,38,2
3340,2019-04-22,,Y,61,2
3340,2019-04-22,,Y,71,1
3353,2019-04-22,,N,23,2
3355,2019-04-22,,Y,49,1
3377,2019-04-22,,N,46,1
3400,2019-04-22,,N,36,1
3410,2019-04-22,,N,24,2
3433,2019-04-22,,N,53,2
3442,2019-04-22,,N,38,2
3443,2019-04-22,,N,42,2
3445,2019-04-22,,N,44,1
3457,2019-04-22,,Y,56,2
3459,2019-04-22,,N,50,2
3459,2019-04-22,,N,75,1
3470,2019-04-22,,Y,54,1
3474,2019-04-22,,Y,52,2
3501,2019-04-22,,N,33,2
3502,2019-04-22,,Y,43,1
3521,2019-04-22,,N,46,1
3548,2019-04-22,,Y,24,1
3551,2019-04-22,,N,32,2
3557,2019-04-22,,N,31,2
3576,2019-04-22,,N,57,1
3579,2019-04-22,,N,28,2
3585,2019-04-22,,N,30,1
3594,2019-04-22,,Y,58,2
3621,2019-04-22,,N,23,1
3642,2019-04-22,,N,24,2
3650,2019-04-22,,Y,25,1
3650,2019-04-22,,Y,74,1
3667,2019-04-22,,N,45,2
3682,2019-04-22,,Y,31,2
3734,2019-04-22,,N,48,1
3762,2019-04-22,,Y,51,2
3770,2019-04-22,,N,53,2
3791,2019-04-22,,N,22,2
3795,2019-04-22,,Y,29,2
3798,2019-04-22,,Y,24,1
3836,2019-04-22,,N,47,2
3841,2019-04-22,,N,36,2
3845,2019-04-22,,N,46,1
3860,2019-04-22,,Y,36,2
3893,2019-04-22,,N,54,2
3907,2019-04-22,,Y,61,2
3908,2019-04-22,,N,53,2
3915,2019-04-22,,Y,25,2
3931,2019-04-22,,N,48,2
3931,2019-04-22,,N,71,1
3933,2019-04-22,,N,59,2
3938,2019-04-22,,N,46,1
3941,2019-04-22,,N,23,1
3973,2019-04-22,,Y,43,1
3974,2019-04-22,,N,29,1
3994,2019-04-22,,N,28,1
3999,2019-04-22,,N,55,1
4004,2019-04-22,,N,54,2
4011,2019-04-22,,Y,50,1
4021,2019-04-22,,Y,57,2
4044,2019-04-22,,N,37,2
4046,2019-04-22,,N,42,1
4048,2019-04-22,,Y,57,1
4056,2019-04-22,,N,39,2
4066,2019-04-22,,Y,37,2
4070,2019-04-22,,Y,23,1
4107,2019-04-22,,N,34,1
4168,2019-04-22,,Y,52,2
4171,2019-04-22,,N,61,2
4181,2019-04-22,,N,36,2
4182,2019-04-22,,N,32,2
4190,2019-04-22,,Y,58,1
4192,2019-04-22,,N,35,2
4198,2019-04-22,,N,24,2
2884,2019-04-23,,Y,26,1
2888,2019-04-23,,N,54,2
2890,2019-04-23,,N,58,2
2892,2019-04-23,,N,26,2
2906,2019-04-23,,Y,22,1
2923,2019-04-23,,Y,54,2
2925,2019-04-23,,N,26,2
2929,2019-04-23,,N,24,1
2946,2019-04-23,,Y,48,1
2949,2019-04-23,,N,44,2
2949,2019-04-23,,N,69,1
2950,2019-04-23,,Y,34,2
2990,2019-04-23,,Y,30,2
2991,2019-04-23,,N,57,1
3009,2019-04-23,,Y,42,1
3023,2019-04-23,,N,49,2
3025,2019-04-23,,N,33,1
3055,2019-04-23,,N,43,1
3055,2019-04-23,,N,74,1
3071,2019-04-23,,Y,59,2
3075,2019-04-23,,N,22,2
3075,2019-04-23,,N,70,1
3081,2019-04-23,,Y,27,2
3084,2019-04-23,,Y,39,2
3125,2019-04-23,,N,56,1
3127,2019-04-23,,N,33,2
3128,2019-04-23,,N,25,1
3129,2019-04-23,,N,51,1
3129,2019-04-23,,N,75,1
3152,2019-04-23,,N,24,2
3156,2019-04-23,,N,40,1
3167,2019-04-23,,Y,58,2
3169,2019-04-23,,N,22,1
3169,2019-04-23,,N,74,1
3171,2019-04-23,,N,32,1
3205,2019-04-23,,N,28,1
3222,2019-04-23,,Y,34,2
3226,2019-04-23,,N,39,1
3229,2019-04-23,,Y,24,2
3236,2019-04-23,,N,40,2
3267,2019-04-23,,N,33,2
3268,2019-04-23,,N,31,1
3268,2019-04-23,,N,79,1
3296,2019-04-23,,Y,60,1
3302,2019-04-23,,Y,25,2
3310,2019-04-23,,Y,42,2
3310,2019-04-23,,Y,72,1
3312,2019-04-23,,Y,36,2
3313,2019-04-23,,Y,46,2
3325,2019-04-23,,N,58,1
3326,2019-04-23,,N,49,2
3326,2019-04-23,,N,78,1
3335,2019-04-23,,Y,40,1
3335,2019-04-23,,Y,79,1
3357,2019-04-23,,N,27,2
3387,2019-04-23,,Y,55,2
3389,2019-04-23,,Y,36,2
3407,2019-04-23,,N,56,2
3407,2019-04-23,,N,69,1
3409,2019-04-23,,N,54,1
3413,2019-04-23,,Y,55,2
3417,2019-04-23,,Y,39,1
3431,2019-04-23,,N,59,1
3437,2019-04-23,,N,61,2
3437,2019-04-23,,N,77,1
3446,2019-04-23,,N,57,1
3465,2019-04-23,,N,27,2
3480,2019-04-23,,Y,38,1
3483,2019-04-23,,Y,26,1
3510,2019-04-23,,Y,46,2
3511,2019-04-23,,Y,31,2
3517,2019-04-23,,Y,27,2
3525,2019-04-23,,Y,32,1
3531,2019-04-23,,N,26,1
3549,2019-04-23,,Y,60,1
3549,2019-04-23,,Y,69,1
3582,2019-04-23,,N,43,1
3605,2019-04-23,,Y,24,2
3606,2019-04-23,,Y,59,1
3612,2019-04-23,,N,49,1
3616,2019-04-23,,N,33,1
3622,2019-04-23,,Y,22,2
3632,2019-04-23,,Y,32,2
3649,2019-04-23,,Y,53,2
3662,2019-04-23,,Y,45,1
3663,2019-04-23,,N,56,1
3666,2019-04-23,,Y,56,1
3691,2019-04-23,,N,33,2
3701,2019-04-23,,Y,27,2
3739,2019-04-23,,Y,45,2
3767,2019-04-23,,N,43,1
3782,2019-04-23,,N,53,2
3782,2019-04-23,,N,72,1
3783,2019-04-23,,N,61,1
3786,2019-04-23,,N,27,1
3803,2019-04-23,,N,25,1
3806,2019-04-23,,N,52,1
3806,2019-04-23,,N,79,1
3808,2019-04-23,,Y,22,2
3810,2019-04-23,,N,45,2
3813,2019-04-23,,Y,42,2
3819,2019-04-23,,N,23,1
3820,2019-04-23,,N,35,2
3827,2019-04-23,,Y,41,1
3827,2019-04-23,,Y,70,1
3847,2019-04-23,,N,50,1
3868,2019-04-23,,N,38,2
3878,2019-04-23,,N,44,1
3891,2019-04-23,,N,46,2
3901,2019-04-23,,N,30,1
3901,2019-04-23,,N,69,1
3917,2019-04-23,,Y,23,1
3923,2019-04-23,,Y,55,2
3928,2019-04-23,,N,35,2
3937,2019-04-23,,Y,50,2
3937,2019-04-23,,Y,71,1
3942,2019-04-23,,N,41,1
3948,2019-04-23,,Y,39,1
3966,2019-04-23,,N,46,2
3976,2019-04-23,,N,31,2
3976,2019-04-23,,N,74,1
3983,2019-04-23,,N,30,2
4003,2019-04-23,,Y,45,1
4003,2019-04-23,,Y,79,1
4006,2019-04-23,,Y,37,1
4009,2019-04-23,,N,24,2
4013,2019-04-23,,Y,23,2
4013,2019-04-23,,Y,70,1
4033,2019-04-23,,N,24,2
4042,2019-04-23,,N,46,2
4055,2019-04-23,,N,55,2
4086,2019-04-23,,Y,59,2
4090,2019-04-23,,N,38,2
4131,2019-04-23,,N,56,1
4131,2019-04-23,,N,72,1
4138,2019-04-23,,N,39,2
4148,2019-04-23,,Y,41,1
4150,2019-04-23,,Y,34,2
4156,2019-04-23,,Y,38,1
4161,2019-04-23,,N,38,2
2864,2019-04-24,,N,35,2
2900,2019-04-24,,N,57,2
2902,2019-04-24,,Y,57,2
2913,2019-04-24,,Y,30,2
2930,2019-04-24,,N,50,2
2952,2019-04-24,,N,33,2
2953,2019-04-24,,Y,58,1
2983,2019-04-24,,N,61,2
2992,2019-04-24,,N,35,2
3004,2019-04-24,,Y,47,2
3008,2019-04-24,,N,28,2
3027,2019-04-24,,Y,36,2
3039,2019-04-24,,Y,61,2
3040,2019-04-24,,N,61,2
3064,2019-04-24,,N,50,2
3074,2019-04-24,,N,38,2
3089,2019-04-24,,Y,60,1
3093,2019-04-24,,Y,58,1
3104,2019-04-24,,N,54,2
3107,2019-04-24,,N,25,2
3126,2019-04-24,,Y,59,2
3126,2019-04-24,,Y,77,1
3143,2019-04-24,,Y,44,1
3153,2019-04-24,,Y,23,2
3158,2019-04-24,,N,43,1
3161,2019-04-24,,Y,51,1
3163,2019-04-24,,Y,36,2
3163,2019-04-24,,Y,71,1
3179,2019-04-24,,Y,43,1
3179,2019-04-24,,Y,72,1
3182,2019-04-24,,N,53,2
3197,2019-04-24,,Y,61,1
3198,2019-04-24,,N,30,2
3230,2019-04-24,,Y,40,2
3230,2019-04-24,,Y,72,1
3237,2019-04-24,,N,47,2
3271,2019-04-24,,Y,47,1
3271,2019-04-24,,Y,72,1
3274,2019-04-24,,Y,48,2
3281,2019-04-24,,Y,54,1
3286,2019-04-24,,N,49,2
3287,2019-04-24,,Y,51,1
3290,2019-04-24,,Y,25,2
3291,2019-04-24,,Y,36,1
3293,2019-04-24,,N,29,2
3293,2019-04-24,,N,74,1
3295,2019-04-24,,N,53,1
3295,2019-04-24,,N,72,1
3297,2019-04-24,,Y,30,1
3298,2019-04-24,,Y,58,2
3306,2019-04-24,,Y,26,1
3306,2019-04-24,,Y,72,1
3331,2019-04-24,,Y,39,1
